Temperature, Humidity, Pressure, Gas
34.98,28.48,990.82,5.68
35.00,28.04,990.82,5.68
35.02,27.73,990.82,5.68
35.05,28.04,990.81,5.68
35.05,27.71,990.81,5.68
35.03,27.61,990.80,5.68
34.99,27.62,990.80,5.68
34.91,27.56,990.80,5.68
34.82,27.74,990.81,5.68
34.70,27.94,990.81,5.68
34.56,28.22,990.80,5.70
34.38,28.45,990.80,6.46
34.24,29.30,990.79,8.34
34.08,29.44,990.79,8.54
33.94,29.79,990.79,8.63
33.81,29.97,990.79,8.48
33.69,29.90,990.79,8.11
33.53,29.79,990.79,8.76
33.37,29.89,990.79,9.81
33.22,30.17,990.79,10.44
33.09,30.54,990.79,5.94
32.98,30.67,990.79,5.68
32.87,30.63,990.78,5.68
32.77,30.43,990.78,5.68
32.68,30.41,990.78,5.68
32.59,30.50,990.77,5.68
32.50,30.37,990.77,5.68
32.41,30.42,990.77,5.68
32.33,30.86,990.77,5.68
32.28,31.30,990.77,5.68
32.26,31.30,990.77,5.68
32.24,31.13,990.77,5.68
32.21,30.91,990.76,5.68
32.19,30.56,990.76,5.98
32.18,30.15,990.76,6.43
32.17,30.08,990.76,6.43
32.18,29.96,990.76,6.43
32.21,29.77,990.76,7.15
32.22,29.49,990.76,6.00
32.24,29.41,990.76,5.68
32.27,29.38,990.77,5.68
32.30,29.24,990.77,5.68
32.31,29.02,990.77,5.68
32.31,28.73,990.78,6.28
32.32,28.77,990.78,7.22
32.33,28.95,990.77,7.56
32.35,28.82,990.77,8.68
32.34,28.77,990.76,10.25
32.36,28.92,990.76,11.18
32.39,28.94,990.77,10.86
32.42,28.99,990.77,11.08
32.46,28.84,990.77,11.30
32.56,29.62,990.77,8.63
32.70,29.05,990.77,8.36
32.83,28.09,990.78,8.65
32.94,27.52,990.78,8.42
33.07,27.44,990.78,7.47
33.19,27.05,990.78,7.88
33.28,26.71,990.78,7.17
33.36,26.72,990.78,6.56
33.42,26.51,990.77,7.66
33.47,26.65,990.78,6.47
33.52,26.85,990.78,5.68
33.55,26.96,990.78,6.00
33.60,27.36,990.77,5.68
33.69,28.02,990.77,5.68
33.81,28.71,990.78,5.68
33.91,27.95,990.78,5.68
34.00,27.14,990.77,5.68
34.07,26.51,990.78,5.68
34.13,26.40,990.78,5.68
34.18,26.41,990.78,5.68
34.23,27.12,990.78,5.68
34.25,27.05,990.78,5.68
34.25,26.83,990.78,5.68
34.21,26.73,990.78,5.68
34.15,27.05,990.79,5.68
34.11,27.59,990.79,5.68
34.07,27.70,990.78,5.68
34.05,28.77,990.78,5.68
34.03,28.79,990.79,5.68
34.01,28.60,990.78,5.68
33.98,28.22,990.79,5.68
33.95,27.99,990.78,5.68
33.91,27.99,990.79,5.68
33.85,27.83,990.79,5.68
33.78,28.17,990.79,5.68
33.74,28.45,990.79,5.68
33.69,28.30,990.79,5.68
33.64,28.45,990.79,5.68
33.60,28.56,990.79,5.68
33.55,28.60,990.79,5.68
33.50,28.63,990.79,5.68
33.44,28.50,990.79,5.68
33.40,28.66,990.78,5.68
33.36,28.86,990.78,5.68
33.32,28.63,990.78,5.68
33.28,28.57,990.78,5.68
33.23,28.50,990.78,5.68
33.19,28.39,990.78,6.06
33.14,28.45,990.78,6.47
33.08,28.49,990.78,6.32
33.00,28.40,990.78,7.30
32.90,28.65,990.77,7.47
32.81,28.85,990.77,8.03
32.73,28.97,990.77,7.06
32.66,29.24,990.77,5.72
32.61,29.68,990.77,5.68
32.57,30.01,990.77,5.68
32.55,30.75,990.77,5.68
32.55,30.63,990.77,5.68
32.54,30.16,990.77,5.68
32.54,29.69,990.77,5.68
32.55,29.43,990.77,5.68
32.55,29.30,990.77,5.68
32.56,29.17,990.77,5.68
32.56,29.10,990.77,5.68
32.56,29.04,990.77,5.68
32.54,28.82,990.77,5.68
32.53,28.77,990.77,5.68
32.51,28.90,990.77,5.68
32.49,28.83,990.77,5.68
32.46,28.80,990.77,5.68
32.42,28.78,990.77,6.55
32.38,28.86,990.78,6.96
32.33,28.93,990.77,6.12
32.29,29.02,990.77,6.83
32.24,28.99,990.77,8.11
32.18,28.96,990.78,9.45
32.09,29.07,990.77,10.63
31.98,29.33,990.77,12.01
31.85,29.55,990.77,12.90
31.72,29.89,990.77,13.81
31.58,30.38,990.77,14.57
31.47,30.73,990.77,12.62
31.43,31.09,990.78,8.59
31.46,31.09,990.78,5.68
31.57,30.49,990.78,5.68
31.75,29.85,990.78,5.68
31.98,29.01,990.78,5.68
32.29,28.43,990.78,5.68
32.61,27.01,990.80,5.68
32.98,26.04,990.81,5.68
33.38,25.09,990.81,5.68
33.81,24.24,990.82,5.68
34.31,23.85,990.83,5.68
34.87,22.90,990.84,5.68
35.43,21.52,990.85,5.68
35.98,20.58,990.87,5.68
36.52,19.85,990.87,5.68
37.05,19.24,990.88,5.68
37.57,18.68,990.89,5.68
38.10,19.09,990.90,5.68
38.62,18.35,990.91,5.68
39.13,17.79,990.92,5.68
39.61,17.35,990.93,5.68
40.03,16.98,990.93,5.68
40.38,17.01,990.93,6.37
40.71,17.09,990.94,6.88
40.97,17.33,990.94,7.63
41.20,17.62,990.93,5.68
41.40,18.29,990.93,5.68
41.59,18.29,990.93,5.68
41.80,19.45,990.93,5.68
42.01,19.18,990.93,5.68
42.18,18.93,990.93,5.68
42.34,18.56,990.92,5.68
42.51,18.96,990.92,5.68
42.71,19.24,990.92,5.68
42.92,18.87,990.91,5.68
43.14,18.88,990.91,5.68
43.36,18.47,990.91,5.68
43.59,18.24,990.91,5.68
43.80,17.54,990.91,5.68
44.01,17.48,990.91,5.68
44.22,17.74,990.90,5.68
44.42,17.17,990.90,5.68
44.61,16.60,990.90,5.68
44.78,16.72,990.90,5.68
44.94,17.37,990.90,5.68
45.09,17.10,990.89,5.68
45.21,16.63,990.89,5.68
45.34,16.52,990.89,5.68
45.45,16.64,990.89,5.68
45.54,16.45,990.89,5.68
45.60,16.57,990.88,5.68
45.67,17.65,990.88,5.68
45.74,17.57,990.88,5.68
45.81,17.05,990.88,5.68
45.86,16.86,990.88,5.68
45.90,17.35,990.88,5.68
45.95,17.42,990.87,5.68
45.98,17.21,990.87,5.68
45.98,17.05,990.87,5.68
45.98,17.52,990.87,5.68
45.96,17.25,990.87,5.68
45.91,17.23,990.87,5.68
45.81,17.31,990.87,5.68
45.70,17.53,990.87,5.68
45.60,17.90,990.87,5.68
45.48,17.93,990.87,5.68
45.37,17.92,990.87,5.68
45.26,17.85,990.87,5.68
45.18,18.20,990.87,5.68
45.11,18.63,990.87,5.68
45.04,18.79,990.87,5.68
44.99,18.97,990.87,5.68
44.97,19.34,990.86,5.68
44.97,18.83,990.86,5.68
44.97,18.23,990.86,5.68
44.98,18.07,990.86,5.68
44.98,17.85,990.86,5.68
44.98,17.67,990.86,5.68
44.97,17.58,990.86,5.68
44.94,17.51,990.87,5.68
44.90,17.60,990.87,5.71
44.84,17.76,990.87,5.68
44.79,18.11,990.87,5.68
44.75,18.32,990.87,5.68
44.70,18.24,990.88,5.68
44.65,18.56,990.90,5.68
44.60,18.54,990.94,5.68
44.56,18.38,990.97,5.68
44.50,18.27,991.00,6.38
44.43,18.31,991.03,6.41
44.34,18.36,991.06,6.84
44.26,18.65,991.08,5.68
44.19,18.93,991.11,5.68
44.11,19.29,991.13,5.68
44.04,19.15,991.15,5.68
43.99,19.15,991.17,5.68
43.94,19.04,991.19,5.68
43.87,18.93,991.20,5.68
43.81,19.11,991.22,5.68
43.79,19.57,991.23,5.68
43.80,19.11,991.24,5.68
43.83,18.75,991.26,5.68
43.88,19.00,991.26,5.68
43.93,18.65,991.27,5.68
44.00,18.30,991.28,5.68
44.07,18.23,991.28,5.68
44.15,18.22,991.28,5.68
44.23,18.08,991.29,5.68
44.32,17.86,991.29,5.68
44.41,17.56,991.29,5.68
44.50,17.39,991.29,5.68
44.57,17.72,991.29,5.68
44.64,17.61,991.29,5.68
44.70,17.46,991.29,5.68
44.74,17.41,991.29,5.68
44.76,17.34,991.29,5.68
44.79,17.30,991.29,5.68
44.82,17.26,991.29,5.78
44.84,17.16,991.27,6.78
44.85,17.31,991.26,7.67
44.84,17.19,991.25,7.80
44.79,17.27,991.23,8.50
44.73,17.49,991.22,8.76
44.64,17.63,991.21,9.41
44.56,17.70,991.20,9.83
44.50,17.99,991.19,6.64
44.45,18.55,991.17,5.68
44.42,18.93,991.16,5.68
44.36,18.47,991.15,5.68
44.32,18.62,991.14,5.68
44.29,18.42,991.13,5.68
44.28,18.07,991.12,5.68
44.29,17.80,991.11,5.68
44.29,17.57,991.11,6.51
44.30,17.40,991.10,7.53
44.29,17.46,991.09,7.85
44.26,17.57,991.08,8.12
44.24,17.87,991.07,6.47
44.24,18.13,991.07,5.68
44.22,18.04,991.06,5.68
44.21,17.96,991.05,6.17
44.18,17.96,991.05,6.93
44.14,17.89,991.04,7.56
44.11,18.28,991.04,5.68
44.10,18.39,991.03,5.68
44.08,18.07,991.03,6.88
44.04,17.91,991.03,7.40
44.03,18.08,991.02,5.68
44.06,18.67,991.02,5.68
44.12,19.12,991.01,5.68
44.19,18.28,991.01,5.68
44.26,17.81,991.01,5.68
44.33,17.37,991.01,5.68
44.40,17.04,991.01,5.72
44.45,16.88,991.01,6.88
44.49,16.86,991.00,7.27
44.50,16.97,990.99,7.20
44.49,17.11,990.99,5.68
44.46,17.81,990.98,5.68
44.44,18.31,990.98,5.68
44.44,18.14,990.98,5.68
44.40,17.96,990.99,5.68
44.33,18.00,990.98,5.68
44.28,18.43,990.98,5.68
44.24,18.23,990.98,5.68
44.20,18.10,990.98,6.57
44.17,18.01,990.98,5.68
44.15,18.59,990.98,5.68
44.13,18.31,990.98,5.68
44.10,18.09,990.98,5.68
44.05,18.04,990.98,6.30
43.98,18.10,990.98,6.28
43.90,18.17,990.98,6.14
43.82,18.73,990.98,5.68
43.78,20.09,990.97,5.68
43.75,19.53,990.97,5.68
43.72,19.01,990.98,5.68
43.68,18.70,990.98,5.68
43.64,18.79,990.98,5.68
43.61,19.33,990.97,5.68
43.58,18.99,990.97,5.68
43.56,18.67,990.97,5.68
43.55,18.48,990.97,5.68
43.55,18.32,990.97,6.20
43.55,18.16,990.96,7.14
43.55,18.03,990.96,7.96
43.52,17.97,990.96,8.44
43.46,18.11,990.96,9.15
43.41,18.24,990.96,10.03
43.35,18.31,990.96,10.88
43.26,18.40,990.95,10.43
43.17,18.55,990.95,10.63
43.06,18.63,990.95,10.59
42.94,18.94,990.95,9.44
42.81,19.23,990.95,8.84
42.69,19.35,990.94,8.22
42.56,19.75,990.94,5.68
42.45,20.05,990.94,5.68
42.37,20.86,990.94,5.68
42.31,20.60,990.94,5.68
42.26,20.51,990.94,5.68
42.23,20.66,990.94,5.68
42.22,20.40,990.94,5.68
42.24,20.02,990.94,5.68
42.27,19.85,990.94,5.68
42.30,19.30,990.94,5.68
42.33,19.03,990.94,5.68
42.36,18.72,990.94,5.68
42.40,18.69,990.94,5.68
42.42,18.70,990.95,5.68
42.45,18.73,990.95,5.68
42.48,18.61,990.95,5.91
42.49,18.45,990.95,7.11
42.50,18.42,990.95,8.15
42.50,18.45,990.95,8.78
42.50,18.55,990.95,9.26
42.50,18.58,990.95,9.64
42.50,18.56,990.95,8.22
42.48,19.06,990.95,5.68
42.46,19.26,990.95,5.68
42.43,19.22,990.95,5.68
42.40,19.28,990.95,5.68
42.37,19.43,990.95,5.68
42.33,19.38,990.95,5.68
42.25,19.37,990.95,5.68
42.17,19.67,990.94,5.68
42.06,19.58,990.94,5.92
41.93,19.75,990.94,5.68
41.80,20.14,990.94,5.68
41.64,20.23,990.94,6.29
41.48,20.45,990.94,7.78
41.32,20.50,990.94,9.26
41.18,20.65,990.94,10.08
41.06,20.76,990.94,10.28
40.95,20.75,990.94,5.68
40.88,21.24,990.94,5.68
40.81,21.40,990.95,5.68
40.78,21.39,990.95,5.68
40.75,21.09,990.94,5.68
40.72,20.99,990.95,5.68
40.71,20.85,990.95,5.68
40.69,20.66,990.95,5.68
40.69,20.40,990.95,5.68
40.69,20.21,990.95,6.18
40.69,20.05,990.95,7.01
40.68,20.04,990.95,5.68
